student_name,student_major,course_code,course_title,instructor,room,grade
Kim Minji,Computer Science,CSE301,Database Systems,Prof. Lee,성파 702,A0
Park Jiho,Software Engineering,CSE301,Database Systems,Prof. Lee,성파 702,B+
MinJi Kim,Computer Science,CSE210,Data Structures,Prof. Han,인지관 305,A-
Lee Somin,Computer Science,CSE301,Database Systems,Prof. Lee,성파 702,A0
Choi Yuna,Data Science,CSE210,Data Structures,Prof. Han,인지관 305,B0
김민지,Computer Science,CSE150,Programming I,Prof. Kim,인지관 101,A+
Jung Hyunwoo,Software Engineering,CSE301,Database Systems,Prof. Lee,성파 702,B0
Han Seoyeon,Computer Science,CSE210,Data Structures,Prof. Han,인지관 305,A0
Song Minjun,Data Science,CSE150,Programming I,Prof. Kim,인지관 101,B+
Kim Minji,Computer Science,CSE210,Data Structures,Prof. Han,인지관 305,B+
Park Jiho,Software Engineering,CSE150,Programming I,Prof. Kim,인지관 101,A-
MinJi Kim,Computer Science,CSE301,Database Systems,Prof. Lee,성파 702,B0
Oh Taeyang,Computer Science,CSE410,Machine Learning,Prof. Oh,성파 508,A0
Lee Somin,Computer Science,CSE150,Programming I,Prof. Kim,인지관 101,B+
Choi Yuna,Data Science,CSE301,Database Systems,Prof. Lee,성파 702,A-
Jung Hyunwoo,Software Engineering,CSE210,Data Structures,Prof. Han,인지관 305,B0
Han Seoyeon,Computer Science,CSE150,Programming I,Prof. Kim,인지관 101,A0
김민지,Computer Science,CSE301,Database Systems,Prof. Lee,성파 702,
